Measure,What’s in Motion Title,What’s in Motion Description,Plan Reference
Cohort Graduation Rate,Finish Line Grants,"Districts receive targeted funding to support students who need interventions — tutoring, transportation, mentoring — to cross the graduation finish line.",P1.F4.A6
Cohort Graduation Rate,Early Warning System,Schools use data-driven indicators to identify students at risk of not graduating and connect them with support services early.,P1.F4.A3
ACT Composite Score,ACT Prep Course,"High school students take a dedicated preparation course before the ACT, building the skills and confidence they need to score higher.",P1.F3.A4
ACT Composite Score,Instructional Coaching,"Instructional coaches work alongside teachers to strengthen daily lessons in reading, writing, and math — the foundations students need for the ACT.",P2.F2.A2
AP Participation,Open Doors to AP,"Schools expand access to Advanced Placement, International Baccalaureate, and other rigorous courses so every student can take on a college-level challenge.",P1.F3.A1
AP Participation,Instructional Coaching,Coaches help teachers refine their instruction so more students are prepared to take on the challenge of Advanced Placement courses.,P2.F2.A2
AP Performance,Teaching & Learning Framework,"A shared framework sets clear expectations for high-quality instruction, so teachers can deliver the rigorous lessons that help AP students pass the exam.",P1.F2.A3
AP Performance,Stronger Teacher Training,New standards for teacher training ensure educators get the high-quality preparation they need to help students master AP material.,P2.F1.A3
Dual Enrollment Participation,College Access Programs,Programs like NC College Connect and NextNC give students a direct path to enroll in college courses while still in high school.,P1.F4.A1
Dual Enrollment Participation,College & Career Toolkits,"Communities, businesses, and families get toolkits to guide students in planning their path — including enrolling in college courses before graduation.",P8.F2.A3
Dual Enrollment Credit,Digital Learning Tools,High-quality online content and personalized digital tools give students the support to succeed in college-level courses and earn the credit.,P1.F2.A2
Dual Enrollment Credit,Attendance Counts,Schools share proven strategies to improve attendance — because students who show up are far more likely to earn their credit.,P4.F2.A2
CTE Participation,Career Development Plans,"Students create personalized plans mapping the courses, credentials, and experiences that connect their time in school to their career goals.",P1.F4.A2
CTE Participation,Business Partnerships for Schools,Businesses and community groups invest in innovative school programs — bringing funding and real-world partnerships that support career learning.,P3.F2.A1
CTE Credentials,Rigorous Career Pathways,Career and technical programs are growing — giving more students the chance to earn the industry credentials that employers value.,P1.F3.A1
CTE Credentials,Education Networks,Education networks connect schools to share what works — spreading the practices that help more students earn the credentials employers want.,P6.F2.A1
NAEP Grade 4 Reading,Science of Reading,"Schools adopt research-based reading instruction, giving children the strongest foundation for learning to read by fourth grade.",P1.F1.A2
NAEP Grade 4 Reading,10 Million Books,A statewide campaign puts 10 million books in students’ hands each year — growing a love of reading that powers learning.,P8.F2.A1
NAEP Grade 8 Reading,Science of Reading,"Research-based reading practices extend through middle school, so eighth-graders build the comprehension skills they need for every subject.",P1.F1.A2
NAEP Grade 8 Reading,Focused Learning Time,"Districts adopt best practices to limit wireless device distractions, giving students more focused time to read, learn, and think deeply.",P4.F2.A1
NAEP Grade 4 Math,Golden LEAF Schools,"The Golden LEAF Schools Initiative brings high-quality math instruction to rural schools, helping children develop strong early math skills.",P1.F2.A1
NAEP Grade 4 Math,Family Learning Academy,"A virtual academy gives families short, accessible online sessions on how to support their child’s learning at home — including early math.",P3.F1.A5
NAEP Grade 8 Math,Golden LEAF Schools,"The Golden LEAF Schools Initiative transforms math instruction in rural schools through a proven model, raising expectations and results.",P1.F2.A1
NAEP Grade 8 Math,"Better Assessments, Better Teaching",New progress checks give teachers timely data on what students know — so they can adjust math instruction before it’s too late.,P6.F4.A2
Schools of Character,Character Education Toolkit,"A statewide toolkit helps schools teach values like respect, responsibility, and perseverance — the character traits that shape good citizens.",P1.F5.A1
Schools of Character,"Whole School, Whole Child",Schools create supportive environments where every student feels they belong — fostering the positive climate where strong character grows.,P4.F2.A3
Public School Enrollment,Sharing Success Stories,Educators and community partners share stories of student achievement and school success — showing families the value of their public schools.,P7.F3.A1
Public School Enrollment,Our Public Schools,Communities across North Carolina share how public education shapes their neighborhoods and prepares children for the future.,P8.F3.A5
