BlogNum,StoryTitle,StoryURL,StoryPublishDate,StoryCounty,FocusAreaID,FocusAreaName,PillarID,PillarName,MatchRationale
1,Achieving Educational Excellence,https://www.dpi.nc.gov/blog/2025/08/20/achieving-educational-excellence,2025-08-20 00:00:00,,P1.F3,Promote excellence for all,P1,Prepare Each Student for Their Next Phase in Life,Blog explicitly discusses CTE and rigorous pathways as part of strategic plan goals
1,Achieving Educational Excellence,https://www.dpi.nc.gov/blog/2025/08/20/achieving-educational-excellence,2025-08-20 00:00:00,,P1.F4,Reimagine the student experience,P1,Prepare Each Student for Their Next Phase in Life,"Career/college readiness is a central theme, aligning with career development plans and postsecondary pathways"
1,Achieving Educational Excellence,https://www.dpi.nc.gov/blog/2025/08/20/achieving-educational-excellence,2025-08-20 00:00:00,,P2.F3,Increase educator compensation,P2,Invest in Educators,Educator compensation explicitly named as a strategic plan theme
2,Producing Global Leaders Across Public Schools,https://www.dpi.nc.gov/blog/2025/08/26/producing-global-leaders-across-public-schools,2025-08-26 00:00:00,"Chatham, Onslow",P1.F3,Promote excellence for all,P1,Prepare Each Student for Their Next Phase in Life,Dual language immersion programs are rigorous academic pathways; Global Ready District is an advanced pathway
2,Producing Global Leaders Across Public Schools,https://www.dpi.nc.gov/blog/2025/08/26/producing-global-leaders-across-public-schools,2025-08-26 00:00:00,"Chatham, Onslow",P1.F5,Launch life-ready graduates,P1,Prepare Each Student for Their Next Phase in Life,Workforce readiness and global leadership are durable skills for postsecondary success
2,Producing Global Leaders Across Public Schools,https://www.dpi.nc.gov/blog/2025/08/26/producing-global-leaders-across-public-schools,2025-08-26 00:00:00,"Chatham, Onslow",P1.F2,Elevate teaching and learning,P1,Prepare Each Student for Their Next Phase in Life,K-12 dual language immersion is a systematic instructional framework across grade levels
3,"NC’s Teacher of the Year is an AVID educator, advocate for rural schools and a Swiftie",https://www.dpi.nc.gov/blog/2025/08/28/ncs-teacher-year-avid-educator-advocate-rural-schools-and-swiftie,2025-08-28 00:00:00,Pitt,P2.F4,Elevate and restore pride in the education profession,P2,Invest in Educators,"Blog is about Teacher of the Year recognition, a named action under P2.F4"
3,"NC’s Teacher of the Year is an AVID educator, advocate for rural schools and a Swiftie",https://www.dpi.nc.gov/blog/2025/08/28/ncs-teacher-year-avid-educator-advocate-rural-schools-and-swiftie,2025-08-28 00:00:00,Pitt,P1.F4,Reimagine the student experience,P1,Prepare Each Student for Their Next Phase in Life,AVID program and Kenan Fellows career exploration directly support career development plans
3,"NC’s Teacher of the Year is an AVID educator, advocate for rural schools and a Swiftie",https://www.dpi.nc.gov/blog/2025/08/28/ncs-teacher-year-avid-educator-advocate-rural-schools-and-swiftie,2025-08-28 00:00:00,Pitt,P3.F2,Strengthen community partnerships,P3,Engage and Empower Families and Communities,Grow Local and Kenan Fellows are explicitly named community partnerships supporting schools
4,How NCDPI’s Office of Research & Promising Practices Turns Evidence into Action,https://www.dpi.nc.gov/blog/2025/09/17/how-ncdpis-office-research-promising-practices-turns-evidence-action,2025-09-17 00:00:00,,P6.F1,Transform schools through research and development,P6,Foster Innovation and Continuous Improvement,Blog is entirely about ORPP identifying and evaluating effective practices -- directly mirrors the focus area actions
4,How NCDPI’s Office of Research & Promising Practices Turns Evidence into Action,https://www.dpi.nc.gov/blog/2025/09/17/how-ncdpis-office-research-promising-practices-turns-evidence-action,2025-09-17 00:00:00,,P4.F2,Improve student and staff health and well-being,P4,Support Student Health and Well-Being,"Chronic absenteeism is explicitly discussed as a research focus, a named P4.F2 action"
